observation,target,output
211,-1.269377589225769,-0.8360294699668884
212,-1.5928421020507812,-0.9047175645828247
213,-1.2864019870758057,-0.41872867941856384
214,0.518189549446106,0.08528085052967072
215,-0.8607907891273499,-0.3497482240200043
216,0.4330673813819885,0.14491449296474457
217,0.024480510503053665,0.3664185106754303
218,-0.8778151869773865,-0.47310671210289
219,-1.5928421020507812,-1.2148065567016602
220,-0.09469061344861984,-0.28689223527908325
221,0.4330673813819885,-1.1856950521469116
222,0.9778496026992798,-1.1660654544830322
223,-0.5203018188476562,-0.0010041252244263887
224,0.586287260055542,-0.48331695795059204
225,0.46711626648902893,0.5530376434326172
226,0.024480510503053665,-0.19893363118171692
227,-0.6224485039710999,-0.5319641828536987
228,-0.4692284166812897,-0.430882066488266
229,-1.1672308444976807,-1.1177059412002563
230,-0.06064175069332123,-0.10558419674634933
231,-0.6905463337898254,-0.6587688326835632
232,-0.9459130167961121,-0.6234154105186462
233,-0.14576391875743866,0.05323250964283943
234,-0.9288886189460754,-0.9919387102127075
235,-0.14576391875743866,-0.4719516336917877
236,-0.24791060388088226,-0.36878442764282227
237,-0.8097174167633057,-0.9893664717674255
238,-0.026592785492539406,-0.06080973893404007
239,0.16067607700824738,-0.6178850531578064
240,0.6033117175102234,-0.31733477115631104
241,-0.9799619317054749,-1.375770092010498
242,-0.996986448764801,-1.2806997299194336
243,0.6884340643882751,-0.1886192411184311
244,0.518189549446106,-0.12837639451026917
245,0.10960277169942856,-0.17484548687934875
246,0.12662720680236816,0.23902718722820282
247,0.3990183174610138,0.8346144556999207
248,1.0289229154586792,-0.3588045537471771
249,0.07555390894412994,-0.7655063271522522
250,0.45009180903434753,0.37478795647621155
251,0.6884340643882751,0.853146493434906
252,0.09257834404706955,0.7404043078422546
253,0.33092060685157776,-0.4999813139438629
254,0.8757030367851257,0.854698121547699
255,-0.31600844860076904,-0.019974645227193832
256,-0.8778151869773865,-0.3492855131626129
257,0.024480510503053665,-0.22251258790493011
258,-0.7586441040039062,-0.6095032691955566
259,-0.9629374742507935,-0.29639098048210144
260,-1.0480597019195557,-0.34846600890159607
261,-0.009568353183567524,0.3792600631713867
262,-0.996986448764801,-0.08903367072343826
263,-0.4692284166812897,-0.16964514553546906
264,-1.1842552423477173,-1.2414320707321167
265,-1.5928421020507812,-0.7713924646377563
266,-0.41815513372421265,-0.33939915895462036
267,-0.26493513584136963,-0.3498019278049469
268,-0.36708173155784607,0.366807222366333
269,-1.0650842189788818,-0.7045062780380249
270,-0.6054241061210632,-0.2839309573173523
271,-0.4692284166812897,0.0856400802731514
272,-0.5543506741523743,-1.0392438173294067
273,-0.06064175069332123,0.3468772768974304
274,0.31389614939689636,0.34215283393859863
